_id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
68340eb480d3588bea3141a5,15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0
68340eb480d3588bea3141a7,15592531,Bartlett,822,France,Male,50,7,0,2,1,1,10062.8,0
68340eb480d3588bea3141b4,15568982,Hao,726,France,Female,24,6,0,2,1,1,54724.03,0
68340eb480d3588bea3141b5,15577657,McDonald,732,France,Male,41,8,0,2,1,1,170886.17,0
68340eb480d3588bea3141b9,15625047,Yen,846,France,Female,38,5,0,1,1,1,187616.16,0
68340eb480d3588bea3141bb,15736816,Young,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0
68340eb480d3588bea3141c3,15732963,Clements,722,Spain,Female,29,9,0,2,1,1,142033.07,0
68340eb480d3588bea3141c6,15729599,Lorenzo,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0
68340eb480d3588bea3141c7,15717426,Armstrong,850,France,Male,36,7,0,1,1,1,40812.9,0
68340eb480d3588bea3141cc,15755196,Lavine,834,France,Female,49,2,131394.56,1,0,0,194365.76,1
68340eb480d3588bea3141ce,15754849,Tyler,776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0
68340eb480d3588bea3141cf,15602280,Martin,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1
68340eb480d3588bea3141d2,15771873,Buccho,776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0
68340eb480d3588bea3141d5,15683553,O'Brien,788,France,Female,33,5,0,2,0,0,116978.19,0
68340eb480d3588bea3141da,15647091,Endrizzi,725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0
68340eb480d3588bea3141dd,15651280,Hunter,742,Germany,Male,35,5,136857,1,0,0,84509.57,0
68340eb480d3588bea3141e2,15789484,Hammond,751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0
68340eb480d3588bea3141e4,15641582,Chibugo,735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0
68340eb480d3588bea3141e7,15703793,Konovalova,738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1
68340eb480d3588bea3141e8,15620344,McKee,813,France,Male,29,6,0,1,1,0,33953.87,0
68340eb480d3588bea3141ec,15780961,Cavenagh,735,France,Female,21,1,178718.19,2,1,0,22388,0
68340eb480d3588bea3141ef,15575185,Bushell,757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0
68340eb480d3588bea3141f2,15663706,Leonard,777,France,Female,32,2,0,1,1,0,136458.19,1
68340eb480d3588bea3141f7,15762418,Gant,750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1
68340eb480d3588bea3141f8,15625759,Rowley,729,France,Male,30,9,0,2,1,0,151869.35,0
68340eb480d3588bea3141fc,15731511,Ritchie,808,France,Male,45,7,118626.55,2,1,0,147132.46,0
68340eb480d3588bea3141fe,15640635,Capon,769,France,Male,29,8,0,2,1,1,172290.61,0
68340eb480d3588bea3141ff,15676966,Capon,730,Spain,Male,42,4,0,2,0,1,85982.47,0
68340eb480d3588bea314201,15738721,Graham,773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0
68340eb480d3588bea314202,15693683,Yuille,814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0
68340eb480d3588bea314203,15604348,Allard,710,Spain,Male,22,8,0,2,0,0,99645.04,0
68340eb480d3588bea314207,15580146,Hung,738,France,Male,31,9,82674.15,1,1,0,41970.72,0
68340eb480d3588bea31420c,15812878,Parsons,785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0
68340eb480d3588bea314213,15609618,Fanucci,721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1
68340eb480d3588bea314219,15682472,Culbreth,828,France,Male,34,8,129433.34,2,0,0,38131.77,0
68340eb480d3588bea314221,15575492,Kennedy,828,France,Female,41,7,0,2,1,0,171378.77,0
68340eb480d3588bea314222,15591607,Fernie,770,France,Male,24,9,101827.07,1,1,0,167256.35,0
68340eb480d3588bea314223,15740404,He,758,France,Female,34,3,0,2,1,1,124226.16,0
68340eb480d3588bea314224,15718369,Kaodilinakachukwu,795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0
